file,full_path,label,class_name,split
M0_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M0_log-20241114-212937.bmp,0,Low,validation
M100_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M100_log-20241114-212937.bmp,1,High,train
M101_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M101_log-20241114-212937.bmp,1,High,train
M102_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M102_log-20241114-212937.bmp,1,High,train
M103_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M103_log-20241114-212937.bmp,0,Low,train
M104_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M104_log-20241114-212937.bmp,1,High,train
M106_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M106_log-20241114-212937.bmp,1,High,train
M107_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M107_log-20241114-212937.bmp,1,High,train
M109_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M109_log-20241114-212937.bmp,0,Low,train
M10_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M10_log-20241114-212937.bmp,1,High,validation
M110_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M110_log-20241114-212937.bmp,1,High,train
M111_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M111_log-20241114-212937.bmp,0,Low,train
M112_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M112_log-20241114-212937.bmp,0,Low,train
M113_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M113_log-20241114-212937.bmp,0,Low,train
M114_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M114_log-20241114-212937.bmp,1,High,train
M115_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M115_log-20241114-212937.bmp,1,High,train
M117_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M117_log-20241114-212937.bmp,1,High,train
M11_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_high_bw/M11_log-20241114-212937.bmp,1,High,validation
M120_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M120_log-20241114-212937.bmp,0,Low,train
M121_log-20241114-212937.bmp,/Users/olzhi/Documents/Research 2026-07-15/lime_multiplexer/multiplexer_combined_bandwidths/combined_low_bw/M121_log-20241114-212937.bmp,0,Low,validation
