epoch,training_accuracy,validation_accuracy
1,0.5454545454545454,0.4666666666666667
2,0.7784090909090909,0.9333333333333333
3,0.9318181818181818,0.8888888888888888
4,0.9318181818181818,0.9555555555555556
5,0.9545454545454546,0.9555555555555556
6,0.9602272727272727,0.9555555555555556
7,0.9659090909090909,0.9555555555555556
8,0.9602272727272727,0.9777777777777777
9,0.9772727272727273,0.9555555555555556
10,0.9602272727272727,0.9555555555555556
11,0.9659090909090909,0.9777777777777777
12,0.9829545454545454,0.9555555555555556
13,0.9943181818181818,0.9777777777777777
14,0.9829545454545454,0.9555555555555556
15,0.9829545454545454,0.9777777777777777
16,0.9943181818181818,0.9777777777777777
17,0.9943181818181818,0.9777777777777777
18,1.0,0.9555555555555556
19,0.9943181818181818,0.9777777777777777
20,0.9943181818181818,0.9777777777777777
