epoch,training_accuracy,validation_accuracy
1,0.5170454545454546,0.7555555555555555
2,0.8181818181818182,0.8666666666666667
3,0.875,0.8888888888888888
4,0.9204545454545454,0.9111111111111111
5,0.9034090909090909,0.8888888888888888
6,0.9147727272727273,0.9333333333333333
7,0.9204545454545454,0.9111111111111111
8,0.9261363636363636,0.9555555555555556
9,0.9488636363636364,0.9111111111111111
10,0.9375,0.9111111111111111
11,0.9431818181818182,0.9111111111111111
12,0.9488636363636364,0.9111111111111111
13,0.9545454545454546,0.9111111111111111
14,0.9261363636363636,0.9111111111111111
15,0.9602272727272727,0.9333333333333333
16,0.9318181818181818,0.9333333333333333
17,0.9545454545454546,0.9333333333333333
18,0.9545454545454546,0.9333333333333333
19,0.9431818181818182,0.9555555555555556
20,0.9545454545454546,0.9333333333333333
