epoch,training_accuracy,validation_accuracy
1,0.8238636363636364,0.9333333333333333
2,0.9147727272727273,0.9333333333333333
3,0.9261363636363636,0.8444444444444444
4,0.9318181818181818,0.8888888888888888
5,0.9886363636363636,0.9555555555555556
6,0.9829545454545454,0.9555555555555556
7,1.0,0.9555555555555556
8,1.0,0.9555555555555556
9,1.0,0.9555555555555556
10,1.0,0.9555555555555556
11,1.0,0.9555555555555556
12,1.0,0.9555555555555556
13,1.0,0.9555555555555556
14,1.0,0.9555555555555556
15,1.0,0.9555555555555556
16,1.0,0.9555555555555556
17,1.0,0.9555555555555556
18,1.0,0.9555555555555556
19,1.0,0.9555555555555556
20,1.0,0.9555555555555556
