epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7760543823242188,0.4034090909090909,0.6861212915844388,0.5777777777777777
2,0.6846061240543019,0.5909090909090909,0.6175814032554626,0.7777777777777778
3,0.6223712671886791,0.7102272727272727,0.5704215155707465,0.8444444444444444
4,0.5569615635004911,0.8295454545454546,0.5183057228724162,0.9111111111111111
5,0.5122987140308727,0.8352272727272727,0.4799975872039795,0.9333333333333333
6,0.47140301357616077,0.8579545454545454,0.4515419072575039,0.9555555555555556
7,0.43731298500841315,0.8863636363636364,0.42493790785471597,0.9333333333333333
8,0.40910936214707116,0.8920454545454546,0.4018963674704234,0.9111111111111111
9,0.3859289532357996,0.8920454545454546,0.38432229426172043,0.9111111111111111
10,0.3661450039256703,0.8920454545454546,0.36879258751869204,0.9111111111111111
11,0.3499584766951474,0.8977272727272727,0.3549249622556898,0.9111111111111111
12,0.3353912288492376,0.9090909090909091,0.34420221779081556,0.9111111111111111
13,0.3216199847784909,0.9090909090909091,0.3343192378679911,0.9111111111111111
14,0.3119224133816632,0.9090909090909091,0.32599319550726147,0.9111111111111111
15,0.3009080805561759,0.9090909090909091,0.31757588254080876,0.9111111111111111
16,0.29316584224050696,0.9034090909090909,0.31079980267418755,0.9111111111111111
17,0.2864770943468267,0.9090909090909091,0.3050693988800049,0.9111111111111111
18,0.27822184427218005,0.9090909090909091,0.29949575993749833,0.9111111111111111
19,0.27319196272980084,0.9090909090909091,0.2947165807088216,0.9111111111111111
20,0.2681140615181489,0.9090909090909091,0.2903020732932621,0.9111111111111111
