epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7760539109056647,0.4034090909090909,0.6861216717296177,0.5777777777777777
2,0.6846058368682861,0.5909090909090909,0.6175815343856812,0.7777777777777778
3,0.6223711642352018,0.7102272727272727,0.570421838760376,0.8444444444444444
4,0.5569614497098055,0.8295454545454546,0.5183058910899692,0.9111111111111111
5,0.5122987438331951,0.8352272727272727,0.47999782164891563,0.9333333333333333
6,0.47140308943661774,0.8579545454545454,0.451542247666253,0.9555555555555556
7,0.4373130039735274,0.8863636363636364,0.42493825488620335,0.9333333333333333
8,0.4091094813563607,0.8920454545454546,0.4018965933057997,0.9111111111111111
9,0.38592909141020343,0.8920454545454546,0.3843226134777069,0.9111111111111111
10,0.3661451583558863,0.8920454545454546,0.3687928908401065,0.9111111111111111
11,0.3499586148695512,0.8977272727272727,0.35492532783084446,0.9111111111111111
12,0.3353913670236414,0.9090909090909091,0.3442026158173879,0.9111111111111111
13,0.32162015546451916,0.9090909090909091,0.3343195524480608,0.9111111111111111
14,0.31192260032350366,0.9090909090909091,0.32599351008733113,0.9111111111111111
15,0.3009082065387206,0.9090909090909091,0.3175762633482615,0.9111111111111111
16,0.2931660047986291,0.9034090909090909,0.31080009539922077,0.9111111111111111
17,0.2864772487770427,0.9090909090909091,0.3050697982311249,0.9111111111111111
18,0.27822197296402673,0.9090909090909091,0.2994961718718211,0.9111111111111111
19,0.2731920765204863,0.9090909090909091,0.29471697873539393,0.9111111111111111
20,0.2681142024018548,0.9090909090909091,0.2903024971485138,0.9111111111111111
